campaign_name,campaign_desc,date,category,promo_content,target_count,est_cost,bottom_link1,bottom_link2,link1,link2,link3,link4
OfflineInfoSession,5월학기 오프라인 설명회 3월 13일 목요일,2025-03-05,web_sms,오프설명회,5280,174240,google_form,,https://docs.google.com/forms/d/1oBYDlUuVDo9d4zHOIys726j70ho0298Bso5x-4-g7HU/edit,,,
OfflineInfoSession,5월학기 오프라인 설명회 3월 13일 목요일,2025-03-07,kakao_all,오프라인 설명회 광고 1차,10369,171089,website_notice,google_form,https://purpleacademy.co.kr/home/sub_notice_view/2605,https://docs.google.com/forms/d/e/1FAIpQLSeMbwkPaMKizcl8L2D7MTSmqktnQuM1cYYch79J7KpnBAJjLg/viewform,,
OfflineInfoSession,5월학기 오프라인 설명회 3월 13일 목요일,2025-03-10,kakao_targeted,오프라인 설명회 광고 2차,2315,50930,website_notice,google_form,https://purpleacademy.co.kr/home/sub_notice_view/2605,https://docs.google.com/forms/d/e/1FAIpQLSeMbwkPaMKizcl8L2D7MTSmqktnQuM1cYYch79J7KpnBAJjLg/viewform,,
OfflineInfoSession,5월학기 오프라인 설명회 3월 13일 목요일,2025-03-11,kakao_alimtalk,오프라인 설명회 리마인드,165,1452,google_form,,https://docs.google.com/forms/d/1oBYDlUuVDo9d4zHOIys726j70ho0298Bso5x-4-g7HU/edit,,,
OfflineInfoSession,5월학기 오프라인 설명회 3월 13일 목요일,2025-03-12,kakao_alimtalk,오프라인 설명회 D-1,5206,45813,google_form,,https://docs.google.com/forms/d/1oBYDlUuVDo9d4zHOIys726j70ho0298Bso5x-4-g7HU/edit,,,
OfflineInfoSession,5월학기 오프라인 설명회 3월 13일 목요일,2025-03-13,kakao_alimtalk,설명회 참가자 대상 안내,107,942,,,,,,
OnlineSession,"3월 18일, 25일, 1일 온라인 설명회",2025-03-14,kakao_targeted,온라인 설명회 & 모집 홍보,2298,50556,google_form,website_admission_question,https://forms.gle/oem72umEn8vqG6u88,https://bit.ly/3ZaG1Ug,,
MayRecruitment,3월 17일 모집 시작,2025-03-17,kakao_targeted,5월학기 모집 시작,2403,52866,website_admission,website_admission_question,https://purpleacademy.net/admission,https://purpleacademy.co.kr/home/admission_question,,
OnlineSession,3월 18일 1차 온라인 설명회,2025-03-18,kakao_alimtalk,온라인 설명회 1차 안내,92,810,youtube,,https://www.youtube.com/live/KJzdcm6uZ9Q?si=c-yR8AmTSMvO96YN,,,
OnlineSession,3월 18일 1차 온라인 설명회,2025-03-18,kakao_alimtalk,온라인 설명회 1차 10분전,3443,30298,youtube,,https://www.youtube.com/live/KJzdcm6uZ9Q?si=c-yR8AmTSMvO96YN,,,
